CustomerID,FirstName,LastName,Email,Phone,SignUpDate,Location,Age,Gender,MaritalStatus,HasChildren,IncomeBracket,MemberStatus
1,James,Strickland,knappshannon@heath-goodman.org,001-362-487-1080,14-04-2020,Lake William,59,Female,Single,FALSE,75000-100000,Cancelled
2,Christopher,Ramirez,sara47@walsh-harper.com,9904238037,10-07-2022,North Tylerland,31,Female,Divorced,TRUE,100000-150000,Merged
3,David,Diaz,lawrence56@wilcox.com,(319)501-4366x831,20-01-2023,North Ronald,67,Female,Single,FALSE,75000-100000,Blocked
4,Ronald,Butler,lwatts@hotmail.com,-3966,19-09-2023,South Miketon,22,Male,Married,FALSE,75000-100000,Blocked
5,Deborah,Hess,maryhill@haynes.com,595-237-0442x054,08-06-2022,Thompsonburgh,50,Male,Married,TRUE,25000-35000,Pending
6,Kelly,Dalton,william51@hotmail.com,420.843.5597,03-01-2021,Lake Kenneth,49,Male,Divorced,FALSE,75000-100000,Pending
7,Howard,White,andrea88@nash.com,108-010-1580,26-06-2024,Jacobview,53,Male,Single,TRUE,25000-35000,Cancelled
8,Kayla,Simmons,dhernandez@martin.net,9804346606,28-05-2023,Lake Christopher,45,Female,Divorced,TRUE,75000-100000,Merged
9,Erin,Simpson,phillipwhite@yahoo.com,(353)382-6742x98158,14-01-2023,North Amyburgh,55,Male,Divorced,FALSE,75000-100000,Merged
10,James,Davenport,tuckermichael@hotmail.com,614-552-3527,10-02-2023,Lake Nicole,42,Female,Single,TRUE,35000-50000,Blocked
11,Harry,Potter,rebeccarush@massey-ford.com,373.284.2968x68752,05-07-2023,East Jennifer,29,Male,Married,FALSE,50000-75000,Pending
12,Sarah,Flores,michael02@morrison.com,-3781,23-03-2021,Hunterchester,40,Male,Divorced,TRUE,35000-50000,Blocked
13,Sarah,Douglas,bthomas@yahoo.com,+1-123-259-1700x0120,22-05-2023,Port Briana,48,Male,Married,FALSE,25000-35000,Merged
14,Elizabeth,Myers,traci99@hotmail.com,075.943.8559,23-05-2023,West Brandyville,38,Female,Married,FALSE,75000-100000,Cancelled
15,Craig,Hill,jessicanelson@lindsey.com,-9250,24-12-2020,South Jennifer,52,Male,Single,TRUE,25000-35000,Audit
16,Mercedes,Hampton,brucehendricks@stephens.net,910.572.7741x074,06-10-2023,South Dennis,65,Female,Married,TRUE,50000-75000,Blocked
17,Gary,Stevenson,brownmegan@hotmail.com,001-332-193-3401x05938,05-12-2023,South Brenda,48,Female,Married,FALSE,35000-50000,Audit
18,Jamie,Roberts,susan03@lynn.com,743-673-5260,08-01-2022,Lake Anthony,29,Male,Single,TRUE,100000-150000,Blocked
19,Christine,Montgomery,pereztrevor@hotmail.com,890-989-9280,26-07-2020,West Grant,58,Female,Married,TRUE,25000-35000,Blocked
20,Sandra,Caldwell,wbrown@hotmail.com,745.408.6575,26-07-2024,Port Trevor,22,Female,Divorced,TRUE,100000-150000,Cancelled
21,George,Rivera,jessicathompson@hotmail.com,(331)286-8502x967,29-06-2023,Lake Adamhaven,31,Female,Divorced,FALSE,50000-75000,Active
22,Darin,Riley,brianevans@gmail.com,2184389333,28-02-2023,Ramirezfurt,39,Female,Single,FALSE,25000-35000,Active
23,Michael,Gonzalez,yolanda56@hotmail.com,0253772954,14-11-2022,Michealfort,44,Female,Divorced,FALSE,25000-35000,Active
24,Todd,Green,elizabeth16@hotmail.com,001-697-857-1565,19-11-2022,New Carlos,20,Male,Divorced,TRUE,75000-100000,Audit
25,Andrea,Barajas,aguirreanthony@casey.com,+1-071-686-7470x8761,19-01-2021,Harveystad,28,Male,Single,FALSE,50000-75000,Merged
26,Virginia,Mathis,jeanmoran@hotmail.com,001-325-626-1840x2101,23-02-2020,South Jessica,45,Female,Divorced,FALSE,50000-75000,Cancelled
27,Jason,Boone,crystal25@yahoo.com,089.192.1520x13659,07-10-2021,East Victoriahaven,43,Male,Divorced,TRUE,25000-35000,Audit
28,Kristin,Rodriguez,pgonzalez@yahoo.com,502.045.4712x891,13-12-2019,Stephanieborough,39,Female,Divorced,TRUE,35000-50000,Audit
29,Joshua,Cannon,zadams@hotmail.com,001-150-789-7638x153,07-09-2019,Lake Williamberg,70,Male,Single,TRUE,50000-75000,Cancelled
30,Thomas,Ross,adammeyer@walker.com,001-898-113-8526,07-03-2023,Huntshire,20,Female,Single,FALSE,25000-35000,Audit
31,Tammie,Shaw,kristathomas@gmail.com,863.486.8737,08-07-2020,Lake Patricia,33,Female,Single,TRUE,50000-75000,Blocked
32,Sharon,Smith,jonesdebra@wagner-castillo.net,(917)660-6324x2776,26-08-2020,Gonzalesmouth,70,Female,Divorced,TRUE,100000-150000,Pending
33,Nicole,Murphy,gsoto@yahoo.com,(765)950-7988x33021,01-02-2022,Christinaside,65,Male,Married,TRUE,35000-50000,Blocked
34,Rachel,Owens,christina17@hotmail.com,104.499.2157x15380,17-11-2019,East Javierstad,46,Female,Single,TRUE,25000-35000,Blocked
35,Jonathan,Hanna,wrowe@yahoo.com,(549)710-2029x0792,08-01-2020,Port Melissa,52,Female,Single,FALSE,50000-75000,Active
